"Stichwort_Id","Stichwort_Parent","Stichwort_Bezeichnung"
176,146,Business premises and factories
177,146,Computers
178,146,Explosives
179,146,Genetic engineering
180,146,Immovable property
181,146,Internet
182,146,Products
183,146,Pharmaceuticals and medical products
184,146,Infections
185,146,Natural catastrophes
186,146,Nuisance/trespass
187,146,Media reports
188,0,Protected interests
189,188,Assets
190,188,Intellectual property
191,188,Liberty
192,188,Earning capacity
193,188,Life
194,188,Name
195,188,Objects and goods
196,188,Private notes
197,188,Image and photographs
198,188,Privacy
199,188,Sexual privacy
200,188,Consumer interests
201,188,Bodily integrity
202,188,Businesses
203,188,Claims and contracts
204,188,Data
205,188,Environment
206,188,Family
207,188,General personality right
208,188,Honour and reputation
209,188,Human rights
210,108,Joint and/or several liability
211,109,Contribution between tortfeasors
212,61,Negotiorum gestio
213,101,Omission
214,110,Contratual or quasi-contractual duties
215,74,Loss of life
216,27,Social security law
217,26,Labour law
218,17,Public international law
219,146,Auditors
220,101,Conditio sine qua non
221,68,Burden of proof
222,64,Civil procedure
223,123,Strict liability
224,55,Interrelation with other compensation systems
225,31,Constitutional law
226,44,Contract law
227,73,Recovery of costs and legal fees
228,110,Wrongfulness
229,116,Fault
230,110,Boni mores
231,62,unjust enrichment
232,7,obligations
233,29,criminal law
234,19,Comparative law
235,28,Evidence
237,6,Property law
238,33,Administrative law
239,8,Succession
240,20,conflict of laws
241,5,Family Law
242,67,Standard of proof
243,16,Insolvency
244,24,Commercial law
245,4,General part of civil law
246,101,Concurrent fault
247,74,Psychiatric harm
248,101,Novus actus interveniens
249,35,Tax law
250,0,Value
251,250,Objective Value
252,250,Subjective Value
253,74,Loss of Working Capacity
254,0,Primary and Consequential Damage
255,254,Primary and Consequential Damage
256,0,Digest Keywords
257,256,Positive Damage and Loss of Profit
258,256,Loss of Illicit Profits
259,256,Damage without any Material Alteration
260,256,Reliance and Expectation Loss
261,256,Alteration of a Good or Diminution of its Value
262,256,Non-Pecuniary Damage in General
263,256,Non-Pecuniary Consequential Damage
264,256,Non-Pecuniary Damage without Harm
265,256,Value of Affection
266,256,Loss of Enjoyment
267,256,Frustration
268,256,Loss of Use
269,256,‘Grey Area’ between Pecuniary and Non-Pecuniary Damage
270,256,Additional Categories Apart from Pecuniary and Non-Pecuniary Loss
271,256,Wrongful Conception
272,256,Wrongful Birth
273,256,Wrongful Life
274,256,Environmental Damage
275,256,Collective Damage
276,256,Mere Exposure to a Danger
277,256,Loss of a Chance as Damage
278,101,Proof of causation
279,188,Cultural heritage
281,101,Hypothetical cause
282,64,Litigant in person
283,0,Reliance
284,283,Reliance
285,74,Loss of housekeeping capacity
286,134,Illegality
287,92,Restraining order
288,74,Loss of sexual life
289,134,Judicial immunity
290,146,War
291,74,Environmental damage
